Image,Class,Num Detections,Num Tumor: Negative,Num Tumor: Positive,Tumor: Positive %
PKR-65-p40_CK5.ndpi,Septa 5,621,577,44,7.085
PKR-65-p40_CK5.ndpi,Septa 6,577,536,41,7.106
PKR-65-p40_CK5.ndpi,Septa 7,651,637,14,2.151
PKR-65-p40_CK5.ndpi,Septa 8,527,514,13,2.467
PKR-65-p40_CK5.ndpi,Septa 9,505,491,14,2.772
PKR-65-p40_CK5.ndpi,Lob 1,447,445,2,0.4474
PKR-65-p40_CK5.ndpi,Lob 4,313,313,0,0
PKR-65-p40_CK5.ndpi,Septa 3,682,676,6,0.8798
PKR-65-p40_CK5.ndpi,Lob 2,411,403,8,1.946
PKR-65-p40_CK5.ndpi,Lob 3,466,461,5,1.073
PKR-65-p40_CK5.ndpi,Lob 5,381,378,3,0.7874
PKR-65-p40_CK5.ndpi,Lob 6,344,343,1,0.2907
PKR-65-WT1_CA125.ndpi,Septa 1,561,429,132,23.53
PKR-65-WT1_CA125.ndpi,Septa 2,458,327,131,28.6
PKR-65-WT1_CA125.ndpi,Septa 3,729,613,116,15.91
PKR-65-WT1_CA125.ndpi,Septa 4,578,398,180,31.14
PKR-65-WT1_CA125.ndpi,Septa 5,606,191,415,68.48
PKR-65-WT1_CA125.ndpi,Septa 6,473,439,34,7.188
PKR-65-WT1_CA125.ndpi,Septa 7,530,481,49,9.245
PKR-65-WT1_CA125.ndpi,Septa 8,482,453,29,6.017
PKR-65-WT1_CA125.ndpi,Septa 9,400,328,72,18
PKR-65-WT1_CA125.ndpi,Lob 1,318,90,228,71.7
PKR-65-WT1_CA125.ndpi,Lob 4,364,224,140,38.46
PKR-65-WT1_CA125.ndpi,Lob 2,334,315,19,5.689
PKR-65-WT1_CA125.ndpi,Lob 3,469,289,180,38.38
PKR-65-WT1_CA125.ndpi,Lob 5,336,268,68,20.24
PKR-65-WT1_CA125.ndpi,Lob 6,310,99,211,68.06
