Image,Class,Num Detections,Num Tumor: Negative,Num Tumor: Positive,Tumor: Positive %
PKR-2-hmga2_ck19_2.ndpi,Lob 7,309,284,25,8.091
PKR-2-hmga2_ck19_2.ndpi,Lob 8,328,281,47,14.33
PKR-2-hmga2_ck19_2.ndpi,Lob 9,365,311,54,14.79
PKR-2-hmga2_ck19_2.ndpi,Septa 1,486,197,289,59.47
PKR-2-hmga2_ck19_2.ndpi,Septa 2,349,73,276,79.08
PKR-2-hmga2_ck19_2.ndpi,Septa 3,424,113,311,73.35
PKR-2-hmga2_ck19_2.ndpi,Septa 4,317,151,166,52.37
PKR-2-hmga2_ck19_2.ndpi,Septa 5,314,159,155,49.36
PKR-2-hmga2_ck19_2.ndpi,Septa 6,311,182,129,41.48
PKR-2-hmga2_ck19_2.ndpi,Septa 7,308,131,177,57.47
PKR-2-hmga2_ck19_2.ndpi,Septa 8,331,102,229,69.18
PKR-2-hmga2_ck19_2.ndpi,Septa 9,314,119,195,62.1
PKR-2-cdx2_ca199.ndpi,Lob 1,322,264,58,18.01
PKR-2-cdx2_ca199.ndpi,Lob 3,318,288,30,9.434
PKR-2-cdx2_ca199.ndpi,Lob 2,302,285,17,5.629
PKR-2-cdx2_ca199.ndpi,Lob 6,314,260,54,17.2
PKR-2-cdx2_ca199.ndpi,Lob 5,304,257,47,15.46
PKR-2-cdx2_ca199.ndpi,Lob 4,317,286,31,9.779
PKR-2-cdx2_ca199.ndpi,Lob 8,302,294,8,2.649
PKR-2-cdx2_ca199.ndpi,Lob 7,349,331,18,5.158
PKR-2-cdx2_ca199.ndpi,Lob 9,334,321,13,3.892
PKR-2-cdx2_ca199.ndpi,Septa 1,304,303,1,0.3289
PKR-2-cdx2_ca199.ndpi,Septa 2,315,314,1,0.3175
PKR-2-cdx2_ca199.ndpi,Septa 3,303,303,0,0
PKR-2-cdx2_ca199.ndpi,Septa 4,327,327,0,0
PKR-2-cdx2_ca199.ndpi,Septa 5,302,301,1,0.3311
PKR-2-cdx2_ca199.ndpi,Septa 6,359,357,2,0.5571
PKR-2-cdx2_ca199.ndpi,Septa 7,307,306,1,0.3257
PKR-2-cdx2_ca199.ndpi,Septa 8,322,321,1,0.3106
PKR-2-cdx2_ca199.ndpi,Septa 9,308,308,0,0
