"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj"
"Hcn4" 1.92605493117124e-08 2.29093184492125 0.093 0.016 0.000427796060762444
"Cryzl2" 1.95224514087413e-08 1.69189904210807 0.237 0.078 0.000433613168239553
"Robo2" 1.97216362851103e-08 2.32300446744482 0.072 0.01 0.000438037263528584
"Hmgcs2" 2.16215569654674e-08 1.8778597959839 0.124 0.026 0.000480236401759997
"Gm34030" 2.43252753336164e-08 1.56629164811312 0.155 0.038 0.000540288690434954
"Psmb10" 2.43713393973411e-08 1.07777018727972 0.577 0.323 0.000541311819354344
"Lfng" 2.46417978368735e-08 1.10596751645753 0.247 0.081 0.000547318971754798
"Isg15" 2.66011318704123e-08 1.0173123879163 0.505 0.248 0.000590837739973728
"Ppp1r14a" 2.81053392472828e-08 1.58674314788868 0.165 0.043 0.000624247690021398
"Plpp1" 2.8825620487761e-08 1.23188590322264 0.495 0.266 0.000640245856653659
"Qprt" 2.90182571666733e-08 2.21506912616864 0.113 0.023 0.000644524509928981
"Tnik" 3.18595843401724e-08 1.64950634914889 0.196 0.058 0.000707633227779569
"Il2rg" 3.3694195528032e-08 1.70809323861281 0.227 0.074 0.000748381776873118
"Tril" 3.52514369664963e-08 1.55503082187811 0.258 0.091 0.000782969666462849
"Ces1d" 3.55003658384136e-08 1.33453813616134 0.124 0.026 0.000788498625637005
"Astn2" 3.58248590489832e-08 2.31293860502058 0.072 0.01 0.000795705944336965
"Layn" 3.76211158894935e-08 1.55771348073543 0.268 0.098 0.00083560260502154
"B3gnt5" 3.81439669240354e-08 1.78352775450323 0.103 0.019 0.000847215649349751
"Calcrl" 3.95846693100439e-08 1.64321577556399 0.196 0.058 0.000879215090045386
"A530064D06Rik" 4.08633131478848e-08 4.6292313406295 0.031 0.002 0.00090761504832767
"Gm16014" 4.14848356193622e-08 3.93501711418382 0.031 0.002 0.000921419683941654
"4930570G19Rik" 4.14848356193622e-08 3.8527284910197 0.031 0.002 0.000921419683941654
"Clec9a" 4.1799024414075e-08 3.49665205384811 0.031 0.002 0.00092839813126102
"Itgal" 4.22920447869823e-08 1.67012273400623 0.186 0.053 0.000939348606763663
"Rgma" 4.2777487602497e-08 1.54202552386939 0.216 0.067 0.000950130777139062
"Smim41" 4.33558808353726e-08 1.42927767465996 0.186 0.053 0.000962977469234461
"Pabpc5" 4.34048975849924e-08 3.72192178680498 0.031 0.002 0.000964066180260266
"Fam110b" 4.40769723151375e-08 1.69657484922201 0.206 0.064 0.00097899363209152
"1700019A02Rik" 4.53221993877486e-08 5.77062499282259 0.01 0 0.00100665137060128
"Slc16a14" 4.53221993877486e-08 5.5549236330338 0.01 0 0.00100665137060128
"Panct2" 4.53221993877486e-08 5.46562751952523 0.01 0 0.00100665137060128
"Gm37336" 4.53221993877486e-08 5.46562751952523 0.01 0 0.00100665137060128
"Rd3" 4.53221993877486e-08 6.07554952007056 0.01 0 0.00100665137060128
"Zfp345" 4.53221993877486e-08 6.09562072696396 0.01 0 0.00100665137060128
"Platr29" 4.53221993877486e-08 5.87187891580646 0.01 0 0.00100665137060128
"Fam184b" 4.53221993877486e-08 5.51331243789094 0.01 0 0.00100665137060128
"Gm33370" 4.53221993877486e-08 5.33665612899172 0.01 0 0.00100665137060128
"Gm9754" 4.53221993877486e-08 5.81110683210587 0.01 0 0.00100665137060128
"Grm8" 4.53221993877486e-08 5.58336509383803 0.01 0 0.00100665137060128
"A430078I02Rik" 4.53221993877486e-08 5.6471776274219 0.01 0 0.00100665137060128
"Sbk2" 4.53221993877486e-08 5.54586653894635 0.01 0 0.00100665137060128
"Gm20650" 4.53221993877486e-08 5.34132027675304 0.01 0 0.00100665137060128
"Gm29724" 4.53221993877486e-08 5.63834834663096 0.01 0 0.00100665137060128
"Gm34885" 4.53221993877486e-08 5.83474315913716 0.01 0 0.00100665137060128
"Gm47231" 4.53221993877486e-08 6.15142705826793 0.01 0 0.00100665137060128
"4930429F24Rik" 4.53221993877486e-08 5.6973396789659 0.01 0 0.00100665137060128
"Nme9" 4.53221993877486e-08 6.11881618561631 0.01 0 0.00100665137060128
"Gm46212" 4.53221993877486e-08 5.58869564030291 0.01 0 0.00100665137060128
"Ifngas1" 4.53221993877486e-08 6.04132889377829 0.01 0 0.00100665137060128
"Spata48" 4.53221993877486e-08 6.17426074196169 0.01 0 0.00100665137060128
"Trpv3" 4.53221993877486e-08 6.04942167975803 0.01 0 0.00100665137060128
"Gm11574" 4.53221993877486e-08 6.24535590015692 0.01 0 0.00100665137060128
"Gm49586" 4.53221993877486e-08 6.1255886383974 0.01 0 0.00100665137060128
"Ighv1-82" 4.53221993877486e-08 5.9014723118375 0.01 0 0.00100665137060128
"Gm47071" 4.53221993877486e-08 5.1475845667906 0.01 0 0.00100665137060128
"Gm48899" 4.53221993877486e-08 5.63788957562741 0.01 0 0.00100665137060128
"Trav5-4" 4.53221993877486e-08 5.67982324771319 0.01 0 0.00100665137060128
"Fam135b" 4.53221993877486e-08 5.58869564030291 0.01 0 0.00100665137060128
"Kcnh8" 4.53221993877486e-08 6.27024483537098 0.01 0 0.00100665137060128
"Sult6b1" 4.53221993877486e-08 5.94723911966564 0.01 0 0.00100665137060128
"Olfr1444" 4.53221993877486e-08 5.46562751952523 0.01 0 0.00100665137060128
"Gm29946" 4.53221993877486e-08 5.63549059414174 0.01 0 0.00100665137060128
"Magee2" 4.53221993877486e-08 5.68473425273698 0.01 0 0.00100665137060128
"AC132444.1" 4.53221993877486e-08 5.6471776274219 0.01 0 0.00100665137060128
"Gm38033" 4.53221993877486e-08 5.81466220637479 0.01 0 0.00100665137060128
"Gm29156" 4.53221993877486e-08 5.1475845667906 0.01 0 0.00100665137060128
"Gm13261" 4.53221993877486e-08 5.63834834663096 0.01 0 0.00100665137060128
"Mymk" 4.53221993877486e-08 6.04942167975803 0.01 0 0.00100665137060128
"Gm13709" 4.53221993877486e-08 5.54952320642709 0.01 0 0.00100665137060128
"Gm42457" 4.53221993877486e-08 5.91999974209424 0.01 0 0.00100665137060128
"Gm43569" 4.53221993877486e-08 5.63549059414174 0.01 0 0.00100665137060128
"Gabbr2" 4.53221993877486e-08 5.31719500964627 0.01 0 0.00100665137060128
"Kncn" 4.53221993877486e-08 6.15142705826793 0.01 0 0.00100665137060128
"Dthd1" 4.53221993877486e-08 5.63549059414174 0.01 0 0.00100665137060128
"Gm42917" 4.53221993877486e-08 5.54035968894958 0.01 0 0.00100665137060128
"Actl6b" 4.53221993877486e-08 5.43981613505235 0.01 0 0.00100665137060128
"Gm15756" 4.53221993877486e-08 6.15142705826793 0.01 0 0.00100665137060128
"Gm26827" 4.53221993877486e-08 5.54952320642709 0.01 0 0.00100665137060128
"Cox8b" 4.53221993877486e-08 6.55142866021127 0.01 0 0.00100665137060128
"Sox1ot" 4.53221993877486e-08 5.58336509383803 0.01 0 0.00100665137060128
"Mfrp" 4.53221993877486e-08 5.34132027675304 0.01 0 0.00100665137060128
"Cabp7" 4.53221993877486e-08 5.83474315913716 0.01 0 0.00100665137060128
"Gm32369" 4.53221993877486e-08 5.87187891580646 0.01 0 0.00100665137060128
"Gm47400" 4.53221993877486e-08 5.51331243789094 0.01 0 0.00100665137060128
"9330111N05Rik" 4.53221993877486e-08 5.46562751952523 0.01 0 0.00100665137060128
"Olfr735" 4.53221993877486e-08 6.15142705826793 0.01 0 0.00100665137060128
"Mhrt" 4.53221993877486e-08 5.66889730004245 0.01 0 0.00100665137060128
"Gm35769" 4.53221993877486e-08 6.79484573963704 0.01 0 0.00100665137060128
"G730013B05Rik" 4.53221993877486e-08 5.46562751952523 0.01 0 0.00100665137060128
"Vmn2r90" 4.53221993877486e-08 6.45218265550445 0.01 0 0.00100665137060128
"4930445N18Rik" 4.53221993877486e-08 5.68473425273698 0.01 0 0.00100665137060128
"Gm46652" 4.53221993877486e-08 5.63834834663096 0.01 0 0.00100665137060128
"Gm45022" 4.53221993877486e-08 5.5549236330338 0.01 0 0.00100665137060128
"D330037F02Rik" 4.53221993877486e-08 6.75880240948922 0.01 0 0.00100665137060128
"Gip" 4.53221993877486e-08 6.76953376292275 0.01 0 0.00100665137060128
"BC048507" 4.53221993877486e-08 6.26815612962501 0.01 0 0.00100665137060128
"Ntf3" 4.56002835180872e-08 2.62674939948689 0.082 0.013 0.00101282789722024
"Sult1a1" 4.90829956552604e-08 1.75240103937881 0.144 0.035 0.00109018241649899
"Atp8b1" 5.17839808641287e-08 1.08665326952993 0.392 0.173 0.00115017399897316
"Gm11131" 5.8799927735874e-08 1.63825389688346 0.103 0.02 0.0013060051949415
"Ddt" 5.94180633112512e-08 1.25152653882902 0.402 0.194 0.0013197346042062
"Cyp2j6" 6.29742378797191e-08 1.37871756941451 0.237 0.079 0.00139872079754644
"Gm12216" 6.42688716730614e-08 1.48695358918132 0.216 0.069 0.00142747590873037
"Samsn1" 6.55449497043902e-08 2.35703287502544 0.186 0.055 0.00145581887788421
"AB124611" 6.5556686758438e-08 1.81336926395913 0.103 0.02 0.00145607956959167
"Cxcr5" 7.78872876252775e-08 3.47352197636951 0.041 0.003 0.00172995454544504
"Ripor3" 7.96597847055663e-08 1.58552497326555 0.144 0.036 0.00176932347809533
"Pycard" 8.37585112087882e-08 1.30283321587575 0.371 0.173 0.0018603602924584
"Extl3" 8.84423343288991e-08 1.01192397459418 0.474 0.243 0.00196439268777918
"Itga4" 8.8644366194346e-08 1.29040747058232 0.216 0.07 0.00196888001754262
"Myo1f" 9.18376924060834e-08 1.84766702029171 0.124 0.028 0.00203980698603152
"Vstm2b" 9.38179235374289e-08 1.41992815128222 0.124 0.028 0.00208378989968983
"Ednrb" 1.03421985086933e-07 2.35570243275582 0.155 0.042 0.00229710571076588
"C1qtnf7" 1.06017572483235e-07 1.1026297189501 0.278 0.103 0.00235475630242512
"Heph" 1.08037817540649e-07 1.94151916414518 0.165 0.046 0.00239962796539536
"Emid1" 1.13520018008628e-07 2.46352050567258 0.113 0.024 0.00252139311998964
"Ramp1" 1.14986422137661e-07 1.69754281586935 0.258 0.096 0.00255396342209958
"Gm3892" 1.20119967022801e-07 5.12001589739 0.021 0.001 0.00266798458754344
"Hmcn2" 1.20306811625788e-07 1.57247816131711 0.206 0.066 0.00267213459302039
"Ms4a14" 1.21365147784744e-07 5.03189038890207 0.021 0.001 0.00269564129744695
"Clec2g" 1.22622813333977e-07 4.79435144394809 0.021 0.001 0.00272357530696096
"Gm13021" 1.22622813333977e-07 4.02240278158881 0.021 0.001 0.00272357530696096
"Nat8f6" 1.23893084333471e-07 4.80418972618303 0.021 0.001 0.00275178929613072
"G6pc" 1.23893084333471e-07 4.68443478081601 0.021 0.001 0.00275178929613072
"Ang" 1.25112012252768e-07 1.18805139479905 0.258 0.093 0.00277886290414623
"Sox10" 1.25176082565523e-07 4.41919687801515 0.021 0.001 0.00278028596986283
"Pirb" 1.2573189645471e-07 1.35386375946584 0.165 0.046 0.00279263115215556
"Lipg" 1.2666444815386e-07 2.13992164088202 0.082 0.014 0.00281334405794538
"Adhfe1" 1.33691385859327e-07 1.79471813593097 0.124 0.028 0.0029694193713215
"Pld4" 1.33988888257107e-07 1.90379188067782 0.165 0.047 0.0029760271970786
"Cnpy3" 1.48991284500722e-07 1.10523801325652 0.371 0.166 0.00330924542004553
"Wdyhv1" 1.52178992043427e-07 1.67967176550933 0.175 0.052 0.00338004759227656
"Sorl1" 1.59810502877076e-07 1.20233558909029 0.186 0.055 0.00354955107940274
"Rab28" 1.63781206236568e-07 1.1309180952834 0.392 0.184 0.00363774437172041
"H2-Ab1" 1.66926580821485e-07 1.15320460497584 0.691 0.478 0.003707606286626
"Vwa1" 1.74522985619387e-07 1.47573337816822 0.196 0.061 0.00387633003359221
"Ptk6" 1.828352352559e-07 2.44537575426276 0.072 0.011 0.0040609534102688
"Ift27" 1.89652805676967e-07 1.22167568769268 0.361 0.162 0.00421237846689112
"Gm2814" 1.91217811925612e-07 2.49281099595515 0.062 0.008 0.00424713882067977
"Ifi206" 1.92810390616386e-07 2.31838960448667 0.082 0.014 0.00428251158598056
"Wdr86" 2.00698281943309e-07 1.99562771637245 0.062 0.008 0.00445770954024284
"Slfn8" 2.06876561222198e-07 1.56587334187609 0.206 0.066 0.00459493530130625
"D430040D24Rik" 2.11845391215825e-07 2.35095441466722 0.093 0.018 0.00470529798429468
"Pdlim2" 2.20619747223781e-07 1.09261350709076 0.423 0.203 0.0049001852055874
"Gadd45g" 2.31008757968332e-07 1.01964544273085 0.577 0.343 0.00513093552323462
"Lactb" 2.39721467800797e-07 1.36734458597056 0.289 0.118 0.00532445352132351
"Slc4a3" 2.4044733409266e-07 1.24117000150364 0.247 0.09 0.00534057573753208
"Fcer1g" 2.4967194334398e-07 1.12582513182548 0.381 0.177 0.00554546353361314
"Rem1" 2.49804253345539e-07 1.03195085709903 0.289 0.113 0.00554840227105776
"Zfp521" 2.53420519280489e-07 1.38244323897082 0.216 0.072 0.00562872315373894
"Tk2" 2.55528935758642e-07 1.28011100254499 0.206 0.067 0.0056755531921352
"Chst15" 2.62693631425776e-07 1.03028589293536 0.351 0.155 0.00583468824759792
"Pcdhga3" 2.72684027403634e-07 2.89937001294567 0.041 0.004 0.00605658493266211
"Gpr141" 2.827713902495e-07 3.14147164562162 0.041 0.004 0.00628063534883165
"Slc16a9" 2.85694148921599e-07 1.46531729340793 0.175 0.052 0.00634555274169764
"Unc45b" 2.86419188139463e-07 2.5170579002352 0.103 0.022 0.00636165658776561
"Adora2a" 2.88804535669951e-07 1.29966477145415 0.196 0.063 0.00641463754176528
"Ptprc" 3.06631235734638e-07 1.09293979580524 0.351 0.15 0.00681058637690204
"Slc9a9" 3.13086178195988e-07 1.49683481989108 0.124 0.029 0.00695395710391109
"Fam169b" 3.13163104311587e-07 3.17838150650184 0.062 0.009 0.00695566570986465
"Dand5" 3.13789042518356e-07 1.53127061548396 0.227 0.082 0.0069695684233752
"Gapt" 3.15829339180239e-07 3.47740183127358 0.031 0.002 0.00701488545253229
"Prickle2" 3.17243568807439e-07 1.06880875981169 0.299 0.119 0.00704629690678203
"Serpina3g" 3.18382087829477e-07 1.46043726617835 0.268 0.104 0.00707158455278052
"Nmi" 3.18793181463932e-07 1.38920184819721 0.247 0.092 0.00708071535349538
"Slc16a12" 3.19749417147424e-07 1.96656555969219 0.082 0.014 0.00710195430426143
"Adam5" 3.22203840429862e-07 3.5203703706766 0.031 0.002 0.00715646949978767
"Fam122a" 3.24314388937291e-07 1.39508886206614 0.247 0.092 0.00720334689268617
"Nat8f5" 3.33104987447993e-07 2.83983824307648 0.031 0.002 0.00739859487620738
"Gm49970" 3.35327540093138e-07 3.36165478197379 0.031 0.002 0.00744795999300869
"Hsd11b2" 3.51369078137371e-07 2.43931895527468 0.062 0.009 0.00780425859450916
"Cntfr" 3.81639323151378e-07 1.50598772133886 0.227 0.081 0.00847659100651527
"Mppe1" 3.93601508829118e-07 1.28104918809703 0.206 0.069 0.00874228311260353
"Kctd12b" 4.01328321249605e-07 1.27124137476917 0.186 0.058 0.00891390334327498
"Hand2os1" 4.2560877323655e-07 1.22263497404987 0.278 0.11 0.00945319646235701
"Jade2" 4.31701969231142e-07 1.17723410986837 0.237 0.085 0.0095885324385929
"Parm1" 4.40997028321412e-07 1.42652694796262 0.309 0.13 0.00979498499604687
